417,173,79,117
408,168,64,122
398,165,50,123
395,165,50,123
365,163,88,121
356,160,89,123
350,154,74,119
340,147,60,128
327,145,62,127
327,145,62,127
295,148,95,119
283,146,94,120
267,144,86,122
254,139,71,126
242,138,72,126
245,137,72,126
213,135,96,126
202,127,55,121
189,126,79,125
175,123,79,128
163,121,87,129
